시장	업종구분	종목명	종목코드	시가총액	유통비율
Q	유통	한국가구	'004590	"774"	"44.2"
K	'전기/가스	삼천리	'004690	"5,442"	"45.3"
K	'섬유/의류	조광피혁	'004700	"4,122"	"22.8"
Q	금속	대륙제관	'004780	"618"	"46.8"
K	금융	효성	'004800	"10,814"	"42.1"
K	화학	DRB동일	'004840	"995"	"27.0"
K	금속	동일산업	'004890	"1,134"	"40.3"
K	화학	조광페인트	'004910	"713"	"42.2"
K	소형주	신라교역	'004970	"1,576"	"33.7"
K	금융	롯데지주	'004990	"30,633"	"27.1"
K	'전기/가스	SGC에너지	'005090	"3,602"	"45.2"
Q	금속	동국산업	'005160	"2,080"	"44.8"
K	일반서비스	녹십자홀딩스	'005250	"7,774"	"46.6"
K	'음식료/담배	롯데칠성	'005300	"11,023"	"37.6"
K	유통	신성통상	'005390	"5,856"	"16.1"
K	'운송/창고	한국공항	'005430	"1,688"	"37.1"
K	금융	현대지에프홀딩스	'005440	"11,989"	"22.8"
K	'음식료/담배	SPC삼립	'005610	"4,815"	"20.4"
Q	'음식료/담배	푸드웰	'005670	"547"	"48.9"
K	'전기/전자	삼영전자	'005680	"2,306"	"42.0"
Q	'운송장비/부품	대원산업	'005710	"1,932"	"37.1"
K	화학	넥센	'005720	"3,223"	"30.7"
K	금융	크라운해태홀딩스	'005740	"1,139"	"41.4"
K	비금속	대림바스	'005750	"679"	"48.7"
K	금융	풍산홀딩스	'005810	"6,228"	"46.7"
K	'섬유/의류	원림	'005820	"357"	"29.0"
K	'운송장비/부품	에스엘	'005850	"14,422"	"36.2"
K	증권	NH투자증권	'005940	"59,178"	"39.1"
K	건설	동부건설	'005960	"1,221"	"43.7"
Q	'음식료/담배	매일홀딩스	'005990	"1,515"	"23.8"
K	금융	동원산업	'006040	"18,346"	"12.1"
K	'음식료/담배	사조오양	'006090	"884"	"24.0"
K	금속	삼아알미늄	'006110	"2,773"	"45.7"
K	금융	SK디스커버리	'006120	"9,578"	"43.0"
Q	'의료/정밀기기	피제이전자	'006140	"945"	"29.3"
K	은행	제주은행	'006220	"3,712"	"20.9"
K	제약	녹십자	'006280	"15,566"	"46.2"
K	유통	대구백화점	'006370	"820"	"47.8"
K	화학	카프로	'006380	"6,185"	"4.7"
K	비금속	한일현대시멘트	'006390	"3,435"	"22.2"
K	금속	대림통상	'006570	"414"	"30.3"
K	'운송장비/부품	삼성공조	'006660	"1,203"	"44.9"
Q	일반서비스	서부T&D	'006730	"5,221"	"43.5"
K	증권	미래에셋증권	'006800	"108,702"	"44.7"
K	금융	AK홀딩스	'006840	"1,517"	"33.1"
K	유통	신송홀딩스	'006880	"970"	"33.0"
K	화학	태경케미컬	'006890	"1,321"	"41.3"
K	'음식료/담배	우성	'006980	"557"	"44.6"
K	유통	GS리테일	'007070	"13,620"	"41.3"
K	'음식료/담배	사조산업	'007160	"3,150"	"32.4"
K	금속	한국특강	'007280	"978"	"42.8"
K	'음식료/담배	오뚜기	'007310	"15,831"	"35.9"
Q	금융	푸른저축은행	'007330	"1,392"	"14.7"
K	'전기/전자	DN오토모티브	'007340	"12,638"	"36.3"
K	금융	샘표	'007540	"1,330"	"21.6"
Q	건설	대원	'007680	"633"	"23.4"
K	금융	F&F홀딩스	'007700	"6,767"	"8.2"
Q	화학	한일화학	'007770	"347"	"34.4"
K	'전기/전자	코리아써키트	'007810	"2,577"	"46.6"
K	금융	서연	'007860	"2,247"	"45.8"
K	'음식료/담배	사조동아원	'008040	"1,671"	"39.2"
K	'전기/전자	대동전자	'008110	"1,578"	"6.2"
K	금속	NI스틸	'008260	"1,083"	"39.6"
Q	화학	원풍	'008370	"524"	"34.1"
K	화학	서흥	'008490	"2,137"	"43.3"
K	'섬유/의류	일정실업	'008500	"166"	"35.7"
K	화학	율촌화학	'008730	"7,539"	"43.5"
Q	'기계/장비	대동기어	'008830	"1,591"	"46.6"
K	비금속	금비	'008870	"591"	"24.8"
K	금융	한미사이언스	'008930	"25,784"	"29.1"
K	'전기/전자	경인전자	'009140	"319"	"32.5"
K	금속	SIMPAC	'009160	"3,258"	"22.7"
K	'종이/목재	무림페이퍼	'009200	"897"	"48.1"
K	유통	한샘	'009240	"10,508"	"34.6"
Q	제약	삼아제약	'009300	"1,129"	"30.2"
K	'기계/장비	참엔지니어링	'009310	"233"	"50.0"
K	건설	태영건설	'009410	"9,055"	"3.5"
K	'전기/전자	경동나비엔	'009450	"10,285"	"41.6"
Q	금속	포스코엠텍	'009520	"4,847"	"49.2"
K	'종이/목재	무림P&P	'009580	"1,784"	"33.0"
K	'운송장비/부품	모토닉	'009680	"2,973"	"31.4"
K	'종이/목재	삼정펄프	'009770	"754"	"25.9"
Q	'음식료/담배	엠에스씨	'009780	"1,529"	"26.8"
K	금융	영원무역홀딩스	'009970	"17,778"	"39.2"
K	비금속	한국내화	'010040	"992"	"24.1"
K	금속	고려아연	'010130	"163,142"	"46.6"
Q	'기계/장비	흥국	'010240	"663"	"39.6"
시장	업종구분	종목명	종목코드	시가총액	유통비율
K	건설	우진아이엔에스	'010400	"212"	"35.2"
K	유통	한솔PNS	'010420	"383"	"15.8"
Q	일반서비스	오리콤	'010470	"751"	"35.4"
K	'운송장비/부품	에스엠벡셀	'010580	"1,859"	"13.2"
K	화학	진양폴리	'010640	"402"	"49.5"
K	'운송장비/부품	화신	'010690	"2,912"	"49.1"
K	'운송장비/부품	평화홀딩스	'010770	"698"	"46.3"
K	비금속	아이에스동서	'010780	"7,018"	"42.5"
K	화학	S-Oil	'010950	"71,715"	"36.6"
